review_text,ambiente,comida,geral,preco,servico,seguranca
Melhor da gastronomia nordestina....,2,1,2,2,2,2
#perfeito  Pratos de Entrada e Principal saborosos.,2,1,2,2,2,2
A boa notícia é que você vai conseguir um bom hambúrguer aqui.,2,1,2,2,2,2
A melhor comida de sempre !!!,2,1,2,2,2,2
"A opção vegana não foi tão boa, mas adorei o ketchup de curry e chipotle.",2,0,2,2,2,2
Ainda as melhores batatas fritas de trufas do mundo inteiro!,2,1,2,2,2,2
Além dos banheiros que precisam de uma atualização geral um bom local!,0,2,1,2,2,2
Ambiente muito bom e excelente atendimento e cuidados preventivos continuam e nos divertimos muito com a família.,1,2,2,2,1,2
As crianças adquirem o deuce especial enquanto minha esposa adquire uma omelete branca uma veggies e meu ordenou meu ego um hambúrguer mesquite tudo estava delicioso e preços não eram caros.,2,1,2,1,2,2
"Bar tradicional no centro de Manaus, a poucos passos do teatro, preço acessível de bebidas.",2,2,1,1,2,2
"Big hambúrgueres com um ótimo sabor, um bar adicional, você tem que chegar cedo porque geralmente fica cheio.",1,1,2,2,2,2
"Boa comida, bom preço, bons servidores.",2,1,2,1,2,2
Bom hambúrguer com bom preço.,2,1,2,1,2,2
"Tem uma parte com mesas menores porém fica no sol embaixo de uma estrutura linda de vidro, a noite deve ser bem legal.",0,2,2,2,2,2
"Som de boa qualidade, cerveja gelada!",1,2,2,2,2,2
 de repente essa seria a melhor opção!,2,2,1,2,2,2
o barulho da praça e do posto (ás vezes alguém leva um paredão) é muito incômodo :/ mas acho q nova unidade eles não terão que lidar com esses problemas.,0,2,2,2,2,2
"110 pilas por dois chopps e duas porções pequenas, demoradas e mal feitas.",2,0,2,0,0,2
"40min de espera, estresse, calor, carne queimada, valor abusivo para o serviço que é prestado, cheguei a tentar cancelar por várias vezes mas sempre pediam desculpas e diziam q meu pedindo estava vindo, achei um descaso total, mentem na lata do cliente.",2,2,2,0,0,2
"A Apresentação é o ponto alto dos pratos, o sabor falta um pouco mais de tempero, mas nada que deixe o prato ruim apenas poderia melhorar o sabor.",2,2,2,2,2,2
A Cachaçaria do Dedé é um bom lugar para visitar.,2,2,1,2,2,2
"A Cachaçaria do Dedé fica dentro do Shopping Manauara, por isso não achei o local muito atrativo muito apertado as mesas muito juntas (muito fechado para o meu gosto) Mas a Comida é ótima comi um tipo mexido com carnes arroz e feijão que estava ótimo.",0,1,2,2,2,2
"A cachaçaria já foi boa, mas hoje não é mais, depois que a vigilância sanitária encontrou carne estragada no local, nunca mais tive coragem de comer lá.",2,0,0,2,2,2
A cada nova opção escolhida me surpreendia mais.,2,1,2,2,2,2
"A carne de sol, sem gosto e as postas finas demais, maionese horrível, baião sem tempero.",2,0,0,2,2,2
"A carne estava maravilhosa, ótimo atendimento e lugar agradável.",2,1,1,2,1,2
A cerveja mais gelada de mais atendimento 100%.,2,2,2,2,1,2
A chefe Debora Shornik conseguiu reinterpretar de forma sutil a diversidade dos sabores amazonicos.,2,1,2,2,2,2
"A churrascaria búfalo conta com um ambiente climatizado e sofisticado, o atendimento é muito bom,  os garçons sempre educados e atenciosos.",1,2,2,2,1,2
"A churrascaria Búfalo tem um ótimo atendimento e com um estilo gaúcho, deixa o ambiente mais propício para saborear as diversas opções de carnes lá servidas.",1,1,2,2,1,2
"A churrascaria serve boas carnes, tem um atendimento primoroso e o preço e um tanto caro.",2,1,2,0,1,2
"A churrascaria tem um ambiente sofisticado com carnes nobres e saborosas além de bufês e guarnições que são preparadas na hora, os garçons são atenciosos e preparados, o preço diferente dos pratos, um pouco salgado.",1,1,2,0,1,2
"A comida como sempre é maravilhosa, porém em Manaus não tive um bom atendimento.",2,1,2,2,0,2
"A comida demorou, atendimento amador e preço alto.",2,2,2,0,0,2
"A comida demorou, atendimento ruim, a bebida só chegou quando a comida acabou, os atendendentes não te dão muita atenção para a sua reclamação quanto ao pedido.",2,2,2,2,0,2
"A comida deste local é muito boa, com preço um pouco salgado.",2,1,2,0,2,2
"A comida é boa, preço bom e ambiente muito agradável!!",1,1,2,1,2,2
"A comida é de qualidade, preço justo e sempre encontramos variedades no buffet.",2,1,2,1,2,2
A comida e espetacular e a carta de Vinhos contém rótulos agradáveis.,2,1,2,2,2,2
"A comida é gostosa, mas nada espetacular, o que não justifica o preço cobrado.",2,1,2,0,2,2
"A comida é muito boa, atendimento muito bom e local muito bem decorado, com bom gosto.",1,1,2,2,1,2
A comida é ótima e o preço muito bom!,2,1,2,1,2,2
"A comida estava muito boa, o atendimento foi excelente e o lugar muito agradável.",2,1,1,2,1,2
"A comida excelente, mas já não se pode dizer o mesmo da recepção, que pelo ocorrido escolhem a vista quem desejam atender de bom grado.",2,1,2,2,0,2
A comida muito bem temperada e saborosa na temperatura correta.,2,1,2,2,2,2
"A comida muito gostosa da primeira vez, mas na segunda a carne tava mais seca.",2,0,1,2,2,2
A comida sempre muito saborosa e o ambiente muito aconchegante e familiar.,1,1,2,2,2,2
